date_added,duration
"November 18, 2015",91
"November 18, 2009",29
"November 17, 2017",92
"November 17, 2017",94
"November 17, 2017",65
"November 17, 2017",135
"November 17, 2017",86
"November 16, 2019",100
"November 16, 2019",84
"November 16, 2019",107
"November 16, 2019",101
"November 16, 2018",95
"November 16, 2018",86
"November 16, 2018",94
"November 16, 2018",133
"November 16, 2017",80
"November 15, 2019",107
"November 15, 2019",74
"November 15, 2019",60
"November 15, 2019",143
"November 15, 2019",105
"November 15, 2019",110
"November 15, 2019",98
"November 15, 2019",100
"November 15, 2019",74
"November 15, 2019",46
"November 15, 2018",122
"November 15, 2018",86
"November 15, 2018",111
"November 15, 2018",132
"November 15, 2018",111
"November 15, 2018",121
"November 15, 2018",76
"November 15, 2018",92
"November 15, 2018",119
"November 15, 2018",45
"November 15, 2018",75
"November 15, 2018",71
"November 15, 2018",81
"November 15, 2018",115
"November 15, 2017",142
"November 15, 2017",131
"November 15, 2016",69
"November 15, 2016",77
"November 14, 2019",88
"November 14, 2019",54
"November 14, 2017",66
"November 14, 2017",88
"November 14, 2014",75
"November 14, 2012",84
"November 13, 2018",128
"November 13, 2017",99
"November 13, 2015",62
"November 12, 2019",59
"November 12, 2018",95
"November 12, 2017",96
"November 11, 2019",100
"November 11, 2019",95
"November 11, 2017",126
"November 11, 2016",98
"November 10, 2018",114
"November 10, 2017",65
"November 10, 2017",54
"November 10, 2017",76
"November 10, 2017",100
"November 10, 2016",71
"November 1, 2019",102
"November 1, 2019",119
"November 1, 2019",94
"November 1, 2019",119
"November 1, 2019",90
"November 1, 2019",105
"November 1, 2019",108
"November 1, 2019",108
"November 1, 2019",87
"November 1, 2019",112
"November 1, 2019",101
"November 1, 2019",89
"November 1, 2019",91
"November 1, 2019",200
"November 1, 2019",119
"November 1, 2019",90
"November 1, 2019",103
"November 1, 2019",110
"November 1, 2019",133
"November 1, 2019",124
"November 1, 2019",118
"November 1, 2019",98
"November 1, 2019",85
"November 1, 2019",115
"November 1, 2019",137
"November 1, 2019",98
"November 1, 2019",110
"November 1, 2019",92
"November 1, 2019",116
"November 1, 2019",94
"November 1, 2019",134
"November 1, 2019",102
"November 1, 2019",98
"November 1, 2019",100
"November 1, 2019",105
"November 1, 2019",118
"November 1, 2019",153
"November 1, 2019",109
"November 1, 2019",99
"November 1, 2019",96
"November 1, 2019",91
"November 1, 2019",185
"November 1, 2019",92
"November 1, 2019",127
"November 1, 2019",98
"November 1, 2019",111
"November 1, 2019",120
"November 1, 2019",137
"November 1, 2019",121
"November 1, 2019",89
"November 1, 2019",91
"November 1, 2019",135
"November 1, 2019",98
"November 1, 2019",139
"November 1, 2019",95
"November 1, 2019",98
"November 1, 2019",91
"November 1, 2019",122
"November 1, 2019",100
"November 1, 2019",103
"November 1, 2019",129
"November 1, 2019",133
"November 1, 2019",105
"November 1, 2019",107
"November 1, 2019",136
"November 1, 2019",138
"November 1, 2019",129
"November 1, 2019",141
"November 1, 2019",99
"November 1, 2019",89
"November 1, 2019",90
"November 1, 2019",98
"November 1, 2019",88
"November 1, 2018",103
"November 1, 2018",117
"November 1, 2018",95
"November 1, 2018",146
"November 1, 2018",136
"November 1, 2018",91
"November 1, 2018",123
"November 1, 2018",144
"November 1, 2018",103
"November 1, 2018",126
"November 1, 2018",121
"November 1, 2018",91
"November 1, 2018",158
"November 1, 2018",157
"November 1, 2018",124
"November 1, 2018",106
"November 1, 2018",92
"November 1, 2018",80
"November 1, 2018",94
"November 1, 2018",126
"November 1, 2018",129
"November 1, 2018",133
"November 1, 2018",109
"November 1, 2018",143
"November 1, 2018",140
"November 1, 2018",150
"November 1, 2018",128
"November 1, 2018",120
"November 1, 2018",154
"November 1, 2018",45
"November 1, 2018",132
"November 1, 2018",126
"November 1, 2018",95
"November 1, 2018",91
"November 1, 2018",135
"November 1, 2018",139
"November 1, 2018",131
"November 1, 2018",118
"November 1, 2018",129
"November 1, 2018",131
"November 1, 2018",146
"November 1, 2018",123
"November 1, 2018",141
"November 1, 2018",93
"November 1, 2018",91
"November 1, 2018",58
"November 1, 2018",91
"November 1, 2018",112
"November 1, 2018",119
"November 1, 2018",106
"November 1, 2018",131
"November 1, 2018",104
"November 1, 2017",103
"November 1, 2017",141
"November 1, 2017",115
"November 1, 2017",120
"November 1, 2017",104
"November 1, 2017",97
"November 1, 2017",120
"November 1, 2017",132
"November 1, 2017",135
"November 1, 2017",82
"November 1, 2017",158
"November 1, 2017",107
"November 1, 2017",122
"November 1, 2017",95
"November 1, 2017",98
"November 1, 2017",113
"November 1, 2017",94
"November 1, 2017",120
"November 1, 2017",92
"November 1, 2017",132
"November 1, 2016",59
"November 1, 2016",91
"November 1, 2016",107
"November 1, 2016",101
"November 1, 2016",93
"November 1, 2016",86
"November 1, 2016",81
"November 1, 2013",44
"November 1, 2013",80
"November 1, 2010",84
"May 9, 2019",110
"May 9, 2019",87
"May 9, 2019",126
"May 9, 2019",103
"May 9, 2019",111
"May 9, 2019",100
"May 9, 2019",112
"May 9, 2017",61
"May 8, 2018",76
"May 8, 2018",67
"May 8, 2018",99
"May 8, 2016",107
"May 7, 2018",91
"May 6, 2019",99
